host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d
1,0,0,1.0,1,0,0,1,1,1,6.1,8.6,1,3.5,4,4.0,4.0,1125,4.0,1125.0,1,33,51,287,7.0,1
1,0,1,1.0,1,1,0,1,1,0,22.0,38.0,1,2.5,3,4.0,2.0,1125,4.9,1125.0,1,32,62,268,11.0,0
1,1,1,1.0,1,0,1,1,1,0,2.0,3.0,1,3.0,6,4.0,4.0,365,4.0,1125.0,0,16,16,16,0.0,0
1,1,1,1.0,1,1,0,1,1,1,2.0,2.0,0,1.0,2,2.0,3.0,180,3.0,1125.0,1,42,72,72,26.0,2
1,1,1,1.0,1,1,1,1,1,1,5.0,5.0,1,2.5,3,4.0,2.0,1125,2.6,1125.0,1,43,66,328,15.0,1
0,0,0,1.0,1,1,0,1,1,0,1.0,1.0,0,1.0,1,1.0,3.0,90,3.0,1107.2,0,31,61,124,24.0,1
1,1,1,1.0,1,1,0,1,1,1,4.0,11.0,0,1.0,1,1.0,28.0,180,28.0,180.0,1,59,89,364,5.0,0
1,1,0,,1,1,0,1,1,1,1.0,1.0,0,1.0,2,2.0,2.0,30,3.1,1125.0,1,54,84,359,4.0,1
1,1,1,0.0,1,0,1,1,1,0,1.0,1.0,0,1.0,0,3.0,31.0,1125,29.0,1125.0,1,59,89,269,3.0,0
1,1,0,0.0,1,1,1,1,1,1,1.0,4.0,1,2.0,4,2.3,30.0,1125,30.0,1125.0,1,60,90,365,2.0,0
0,0,0,1.0,1,1,0,0,1,0,2.0,7.0,0,1.0,1,1.0,31.0,60,31.0,1125.0,1,60,90,90,0.0,0
1,0,0,1.0,1,0,0,1,1,1,6.1,8.6,0,3.5,3,4.0,28.0,1125,28.0,1125.0,0,0,0,193,1.0,0
0,0,0,1.0,1,0,1,1,1,0,1.0,1.0,1,2.1,3,2.6,30.0,180,30.0,1125.0,1,55,81,188,0.0,0
